nco_code,title,description
1120.3000,,
1321,Manufacturing Managers,petroleum canning plants to schedule
1322,Mining Managers,shipment of products. Establishes operating procedures for incoming
1323,Construction Managers,"shipments, indicating storage tanks and"
1324,"Supply, Distribution and","Related warehouse facilities to be used. Managers regarding re-fuelling, etc. for guidance of Commander and Navigator of the aircraft. Family 1343 Aged Care Services Managers Aged Care Service Managers plan, direct co-ordinate and evaluate the provision of"
1341,Child Care Service Managers,"income support, family assistance,"
1342,Health Services Managers,children’s services and other community programmes and services.
1343,Aged Care Services Managers,
1344,Social Welfare Managers,Family 1345
1345,Education Managers,Education Managers
1346,Financial and Insurance Service,"Branch Managers Education Managers plan, direct, co-"
1349,Professional Services Managers,"ordinate and evaluate the educational and Not Elsewhere Classified administrative aspects of education Physical and Earth Science astronomy in industrial, medical, military Professionals or other fields. Mathematicians, Actuaries and Statisticians 2111.0100 Life Sciences Professionals Physicist, General Engineering Professionals Physicist, General conducts theoretical (excluding Electro technology) and experimental studies and research in Electro technology Engineers different branches of physics such as gravitation, structure and properties of Architects, Planners, Surveyors and matter, heat, light, sound, electricity, Designers designing heat engines, temperature recording instruments, application of heat, maintenance of temperature, cooling devices and other industrial and technical problems. May specialize in any particular branch of research on problems relating to heat. ISCO 08 Unit Group Details: Code 2111 Title Physicists and Astronomers 2111.0400 Physicist, Light Physicist, Light conducts theoretical and experimental studies and research on transmission and projection of light and other optical problems for formulation of theories on light and to apply them to industrial and technical uses. Performs basic tasks similar to Physicist General, conducts studies and experiments on transmission and projection of light and apparatus, instruments and equipment."
2111.0300,"Analyses data, formulates","theories and evolves formulae for designing optical instruments, solving optical problems and application to industrial and technical uses. May specialize in any particular branch of light such as illumination, spectroscopy, colometry, optics, photography, polarized light, photometry, and intra and ultra-rays. ISCO 08 Unit Group Details: Code 2111 Title Physicists and Astronomers current, luminous reports of material studies for information of other scientists and requestors. May guide technical staff engaged in developing materials for specific use in reliability of projected product or device. in quantitative ISCO 08 Unit Group Details: errors. Develops Code 0 Title Chemists; Physicists and science, Astronomers of measurement and precision 2111.9900 engineering, Physicists and Astronomers, Other personnel in evaluation, and Physicists and Astronomers, Other include standards, all other physicists and astronomers working in other fields of physics and instrumentation. astronomy such as those engaged in of resolving controlling, testing and analysing physical and exchanges and astronomical properties or in other metrology developing experimental, testing and participation in recording equipment, not elsewhere industrial classified. and ISCO 08 Unit Group Details: Code Title Physicists and Astronomers Family 2112"
2111.1100,,"Meteorologists Meteorologists prepare short-term or scientific long-term weather forecasts used in characterizing aviation, shipping, agriculture and other leading to areas and for the information of general public. They conduct research related to Conducts the composition, structure and dynamics structures and of the atmosphere. materials, such as semiconductors 2112.0100 research data. Meteorologist Meteorologist studies, compiles and of processes and interprets weather data, forecast changes users. Prepares in weather over short and long periods instrumentation capable of measuring and controlling body functions. May specialize in design and development of biomedical equipment used by medical faculties and work in the workshop at different stages of production to ensure maintenance of correct standards. Conducts method studies, time and motion studies and determines efficient and economical way of production. Directs repairs and maintenance of workshop tools, equipment and accessories to ensure measures and observance of factory laws and statutory provisions. Examines indents and directs checking of outgoing and incoming stores according to specifications. May specialize in manufacture and erection of oil engines, turbines, machines, tools, earth moving equipment, concrete mixers, etc. May ISCO 08 Unit Group Details: Code 2144 Title Mechanical Engineers 2144.0101 Process Design Engineer Process Design Engineer needs to design, develop, and evaluate integrated systems 2144.0105 Manager, Process Engineering Manager, Process Engineering needs t develop and implement manufacturin procuring the facilities, tools, gauges an"
2144.0103,,"equipment required. They are als responsible for process review of ne processes and suggest modifications i to order to improve the QCT targets. Qualification Pack Details: QP NOS Reference ASC/Q6407 QP NOS Name Manager, Process Engineering NSQF Level 7 ISCO 08 Unit Group Details: Code 2144 Title Mechanical Engineers Manager-Product Lifecycle"
2144.0104,,"Management Manager-Product Lifecycle Managemen to needs to understand and manage th information flow pertaining to lifecycle o different products from the R& department of the organization. Qualification Pack Details: QP NOS Reference ASC/Q6505 QP NOS Name Manager-Product Lifecycle Management Level 6 NSQF Level 6 Analyses all losses such as oil, fuel, gas, chemical, utilities and catalyst, deduction of flare gas etc., calculates material and energy balance for given refinery unit and decides or recommends product pattern QP NOS Reference ELE/Q8701 QP NOS Name System Analyst (PCB Design) NSQF Level 5 ISCO 08 Unit Group Details:"
2151.0404,,"2151.0602 Systems Designer (PCB Design) Systems Designer (PCB Design) uses is software tools to develop schematics and create PCB layout, converting them to Gerber format for end manufacturer user, for the PCB assembly and fabrication process. The individual at work is responsible for developing schematics and creating PCB layout and convert them to Gerber format with detailed instructions and information, using CAD and other software tools, for the manufacturing and assembly process. Qualification Pack Details: QP NOS Reference ELE/Q8702 QP NOS Name Systems Designer (PCB Design)"
2161,Building Architects,"light and power fittings, sanitary fittings,"
2162,Landscape Architects,etc. done by them. May specialize in
2163,Product and Garment Designers,landscape architecture. May approve payment on correct execution of work.
2164,Town and Traffic Planners,
2165,Cartographers and Surveyors,Qualification Pack Details:
2166,Graphic and Multimedia Designers,"QP NOS Reference ordinates development of towns, cities and colonies, taking into consideration various aspects, such as financial resources, location of residential areas, industries, schools, parks etc. Conducts town planning survey of specified area for designing layout. Collects data from State Governments, Municipal Corporation and other sources, regarding climate, soil condition, contours, rivers, transport and public health facilities, public utility services, age and condition of buildings if any, density of population, traffic, wind direction etc. Analyses this data and consults specialists as necessary, such as Engineer, Industrialist, Geologist, Sociologist, Geographer, Statistician, etc. Aerial-Photograph Interpreter analyses aerial photographs to detect significant industrial, resource, or topographical data. Studies photographs to locate roads, industrial centres, rivers, forest areas, and to determine nature of terrain. Interprets photographs to evaluate the potentiality of resources. May draw maps for use of field officers in planning and exploitation of resources. May interpret photographs for timber evaluation, water shed management, construction, or mining. May request enlargement of photograph for more detailed analysis. May use computers and data banks to store, retrieve, and compare information. Qualification Pack Details: QP NOS Reference QP NOS Name NSQF Level ISCO 08 Unit Group Details: Code 2165 Title Cartographers and Surveyors 2165.0400 Surveyor, Photogrammetric Surveyor, Photogrammetric; Surveyor, Reproduction prepares topographical and (characters, machines, props, objects etc.) 221 Medical Doctors 223 Traditional and Complementary Medicine Professionals"
2166.0512,224 Paramedical Practitioners,"225 Veterinarians 226 Other Health Professionals Practitioners, other advanced clinical procedures for treating and preventing diseases, injuries and techniques not other physical or mental impairments common to specific communities. 2240.0100 Laboratory Assistant, Clinical Laboratory Assistant, Clinical; Medical Laboratory Technician arranges and sets various instruments and apparatus in fleas, ticks etc. to assist development of insecticides. Observes action of bacteria on living tissues. Makes chemical analysis of culture solution of bacteria and determines biochemical properties of bacteria to assess its importance in causing diseases. Prepares reports on findings to be utilised for further research. Conducts post-mortem examination of dead animals to determine causes of prevention of various diseases. Is designated as Veterinary Bacteriologist if specialized in conducting research in miral, rickettsial and fungal disease of animals and evolving their preventive measures. ISCO 08 Unit Group Details: Code 2250 Title Veterinarians 2250.0200 Veterinarian, General Veterinarian, General Veterinary Doctor investigates and treats diseases, injuries and ailments in animals and undertakes measures to improve livestock. Examines"
2250.0100,"animals for sickness, injuries and other","ailments to determine course of treatment and attends to them including surgical cases where necessary. Conducts castration, artificial insemination and treatment of infertility for controlled and better breed. Inoculates domestic animals, poultry, pet animals periodically against epidemics. Investigates causes of outbreaks of infections and takes preventive measures. Advises owners of animals in correct methods of breeding, feeding, rearing and disease control. Conducts research in laboratories on such subjects as pathology, anatomy etc. Performs post-mortem of dead animals to determine causes of death. May examine 2261 Dentists advises individual 2262 Pharmacists poultry problems: 2263 Environmental and Occupational Health and Hygiene Professionals and action of 2264 Physiotherapists 2265 Dieticians and Nutritionists and prescribes 2266 Audiologists and Speech Therapists birds from 2267 2269 Health Professionals, Not Elsewhere Classified provided through hospitals, dispensaries, child welfare and maternity centres. Regulates, restricts and controls sale of eatables, location and working condition of cinemas, factories and other establishments affecting public health and sanitation through licenses and by Associate Professionals, 231 other modern health not elsewhere 232 Vocational Education Teachers 233 Secondary Education Teachers 234 Primary School and Early Vocational Education Teachers teach or instruct vocational or occupational subjects in adult and further education institutions and to senior students in secondary schools and colleges. They prepare students for employment in"
2310.9900,,"specific occupations or occupational areas for which university or higher education is not normally required. 2320.0101 Certified Training Assessor Certified Training Assessor (CTA) would be required to assess the standard of training of trainees within the scope of a certified syllabus and courseware. They should be able to assess trainees objectively on theory and practical aspects. An assessor should have requisite aptitude for training and teaching, backed by adequate subject matter expertise and clarity regarding the documentation required. A CTA should be familiar with the syllabus, courseware, methods, assessment processes and documentation for structured training in research and advise on teaching methods, teach people with learning difficulties or special needs; teach non-native languages collected data. Gathers data on"
2431,Advertising and Marketing,"competitors and analyses their prices, Professionals sales, and method of marketing and"
2432,Public Relations Professionals,distribution. Measures and assesses
2433,Technical and Medical Sales,"customer and employee satisfaction. Professional (excluding ICT) Measures the effectiveness of marketing,"
2434,Information and Communications,"advertising, and communications Technology Sales Professionals programmes and strategies. Monitors Qualification Pack Details: QP NOS Reference ASC/Q0503 QP NOS Name Product Brand Manager NSQF Level 6 Code 2431 Title Advertising and Marke"
2431.0102,,"Professionals 2431.0202 Account Executive (Advertising Agency) Account Executive (Advertising Agen responsible for managing preparati clients’ advertisement end-products. Qualification Pack Details: QP NOS Reference MES/Q0208 QP NOS Name Account Execu (Advertising Agency) NSQF Level 6 of science, of the overall solution that includes a web mathematics, based component. equations or Qualification Pack Details: of computer. QP NOS Reference SSC/Q0503 and QP NOS Name Web Developer problems NSQF Level 5 or feasibility of ISCO 08 Unit Group Details: Code 2513 the concerned Title Web and Multimedia necessity for Developers Develops new program to 2513.0201 or User Interface Developer of COMPUTER as part of the UI Developer is responsible for creating complex user interfaces for a variety of applications, such as computer programs, Qualification Pack Details: QP NOS Reference SSC/Q0502 QP NOS Name NSQF Level 7 ISCO 08 Unit Group Details: Development Code 2513 design and Title Web and Multimedia Developers and modify that draw 2513.0301 animations, displays, and Media Developer-Product Development and Delivery Media Developer-Product and Delivery is responsible for designing and improving the look and feel, functionality and visual appeal of the responsible for developed application. They may work web-based independently or along with static and application/functional developers to improve the aesthetics of the application sections to reproduce original appearance. Constructs replicas of archaeological artefacts or historically significant ceramic ware, basing construction design on size, curvature, and thickness of excavated shards or pieces of objects available and knowledge liaison and library abstracts and articles from after the of"
2622.0200,,"and maintains pictures positive and positive, prints, etc. index and reference. etc. Makes of films to to queries cut and data on and retrieval, according to needs of news staff. May hire, train, schedule, and evaluate library staff. May prepare library budgets. May promote and market library products and services to public. May co- ordinate activities of library with activities of other departments. May select and purchase reference books for library collection. May manage graphics library, assign classification terms to graphics, and research graphics. ISCO 08 Unit Group Details: Code 2622 2622.0601"
2622.0500,Document Coder/Processor,"Document Coder/Processor is responsible for cataloguing or indexing legal documents so as to be easily retrieved, sorted, reviewed or prioritized. Qualification Pack Details: QP NOS Reference SSC/Q2901 QP NOS Name Document Coder/Processor NSQF Level 7 ISCO 08 Unit Group Details: Code 2622 Title Librarians and Related Information Professionals 2622.9900 Librarians and Related Information Professionals, Other Librarians and Related Information Professionals, Other include all other Librarians engaged in cataloguing, preserving and maintaining books, manuscripts, magazines, of historical, and fiscal problems. May specialize in an"
2631,Economists,"branch of economics, such as agricultura"
2632,"Sociologists, Anthropologists and","financial or industrial, international trad Related Professionals labour or prices, or in taxation or mark"
2633,"Philosophers, Historians and",research and be designated accordingly. Political Scientists
2634,Psychologists,ISCO 08 Unit Group Details:
2635,Social Work and Counselling,Code 2631 Professionals Title Economists
